ZIP,SFR
53001,308611
53002,379738
53004,358435
53005,447879
53006,328655
53007,277649
53010,345641
53011,323612
53012,494846
53013,357027
53014,263108
53015,283999
53017,513804
53018,627898
53019,338225
53020,398625
53021,368418
53022,442169
53023,324472
53024,443711
53027,392050
53029,616085
53032,240461
53033,465866
53034,298454
53035,348746
53036,426826
53037,416804
53038,380734
53039,290358
53040,377423
53042,290263
53044,387734
53045,528698
53046,445113
53048,288998
53049,341137
53050,261979
53051,397443
53057,315390
53058,713969
53059,413483
53061,236816
53063,320225
53065,304113
53066,524685
53069,845392
53070,333663
53072,602093
53073,333181
53074,342772
53075,330416
53076,538039
53079,310987
53080,359174
53081,222358
53083,302103
53085,307110
53086,462592
53089,494141
53090,347110
53091,307238
53092,568858
53093,339031
53094,292840
53095,387932
53097,612810
53098,292858
53103,442228
53104,406173
53105,354535
53108,339954
53110,264405
53114,299743
53115,307448
53118,545945
53119,481965
53120,424707
53121,370329
53122,653173
53125,697257
53126,412924
53128,295487
53129,354902
53130,364564
53132,431920
53137,420593
53139,337123
53140,222617
53142,298699
53143,225685
53144,295476
53146,403004
53147,424982
53149,472036
53150,477835
53151,423105
53153,447882
53154,386365
53156,336535
53158,425264
53168,331262
53170,320001
53172,270408
53177,299974
53178,387963
53179,321599
53181,359882
53182,371047
53183,504967
53184,360904
53185,418279
53186,339710
53188,396754
53189,465079
53190,330776
53191,520515
53202,357543
53204,132583
53205,133168
53206,76909
53207,281221
53208,203774
53209,149240
53210,151268
53211,482824
53212,168407
53213,385164
53214,236551
53215,199556
53216,156025
53217,523822
53218,149034
53219,248191
53220,277070
53221,275271
53222,240597
53223,240761
53224,254445
53225,217256
53226,369833
53227,267765
53228,336912
53233,173013
53235,256543
53402,261909
53403,186699
53404,167471
53405,203872
53406,335311
53502,317757
53503,312814
53504,246363
53505,346078
53508,408163
53510,224351
53511,186251
53515,408290
53516,310897
53517,479705
53518,221093
53520,276706
53521,452927
53523,402946
53525,289011
53527,459515
53528,496815
53529,467814
53530,183006
53531,396478
53532,439238
53533,302595
53534,307061
53536,355425
53537,212143
53538,304407
53541,185439
53543,253973
53544,384170
53545,255208
53546,294096
53548,257719
53549,300917
53551,387985
53553,209178
53554,201042
53555,437627
53556,223966
53558,459762
53559,389509
53560,383238
53561,479791
53562,633942
53563,349181
53565,296998
53566,254930
53569,221551
53570,321206
53572,450965
53573,201197
53574,415867
53575,477182
53576,278235
53577,282817
53578,390071
53579,288495
53581,219715
53583,373865
53585,243582
53586,177300
53587,198064
53588,346814
53589,404194
53590,438486
53593,576526
53594,321391
53597,586046
53598,481391
53703,554013
53704,368010
53705,552034
53711,485557
53713,374566
53714,348445
53715,460465
53716,383289
53717,567517
53718,427458
53719,452395
53726,754220
53801,122150
53803,175995
53804,159735
53805,181257
53806,165641
53807,229652
53808,227708
53809,183535
53811,247764
53813,199782
53818,239228
53820,228211
53821,184264
53826,173798
53901,263756
53910,175270
53911,329641
53913,295281
53916,260445
53919,263077
53920,235272
53923,252017
53924,272055
53925,313411
53926,247058
53929,197612
53930,245086
53932,330956
53933,318939
53934,195861
53936,169070
53937,323441
53941,334318
53943,283521
53944,264076
53946,270856
53948,234084
53949,236907
53950,262098
53951,301328
53952,237134
53954,330788
53955,364471
53956,260907
53959,289133
53960,315507
53961,267030
53963,238026
53964,243720
53965,286512
53968,197470
54001,309716
54002,318974
54003,379896
54004,266004
54005,280420
54006,255333
54007,315545
54009,329266
54011,315897
54013,286155
54014,319826
54015,363273
54016,476746
54017,364557
54020,343721
54021,390734
54022,386272
54023,396285
54024,306454
54025,388772
54026,369572
54027,365899
54028,319127
54082,546628
54101,362448
54102,165479
54103,158597
54104,174806
54106,308399
54107,259674
54110,281553
54111,280996
54112,226019
54113,315405
54114,197753
54115,394330
54119,164150
54120,187553
54121,202596
54124,213307
54125,130269
54126,363291
54128,227354
54130,309721
54135,265765
54136,252075
54137,311182
54138,256433
54139,262190
54140,268176
54141,365755
54143,176635
54149,232133
54151,158714
54153,214533
54154,250739
54155,447309
54156,151559
54157,215323
54159,232779
54161,253303
54162,343162
54165,313475
54166,220555
54170,305196
54171,437886
54173,425181
54174,228107
54175,296380
54177,205476
54180,346750
54201,229112
54202,520804
54204,347125
54205,295264
54208,351929
54209,481665
54210,491246
54211,603767
54212,555710
54213,256130
54216,253950
54217,355952
54220,215363
54227,344444
54228,233373
54229,369743
54230,301360
54234,578681
54235,357828
54241,197303
54245,294457
54246,375742
54247,277720
54301,272091
54302,228309
54303,220931
54304,266777
54311,361259
54313,386190
54401,225400
54403,206823
54405,176529
54406,313467
54407,313784
54408,206205
54409,157588
54410,246159
54411,210741
54412,248629
54414,227546
54416,209228
54420,229623
54421,181802
54422,188617
54423,341406
54424,272683
54425,184512
54426,228655
54427,200693
54428,268928
54433,191510
54435,234543
54436,182350
54437,190983
54440,249878
54441,273051
54442,237360
54443,312772
54446,180544
54448,266594
