ZIP,Price
5906," $179,723.61 "
5903," $200,353.31 "
5837," $207,588.39 "
5858," $215,539.25 "
5847," $217,062.33 "
5907," $218,797.18 "
5866," $224,470.52 "
5846," $226,071.87 "
5830," $226,366.93 "
5860," $228,605.84 "
5150," $231,889.84 "
5201," $233,517.93 "
5822," $234,236.11 "
5748," $234,916.61 "
5824," $235,935.68 "
5765," $237,107.61 "
5743," $237,734.24 "
5476," $238,947.02 "
5156," $239,046.02 "
5101," $242,349.35 "
5843," $243,706.91 "
5820," $244,537.52 "
5086," $249,800.71 "
5855," $250,854.69 "
5350," $250,872.38 "
5081," $251,355.02 "
5777," $253,706.04 "
5747," $256,131.71 "
5701," $258,721.57 "
5076," $259,359.15 "
5069," $259,668.94 "
5845," $260,961.14 "
5261," $263,228.62 "
5764," $264,087.50 "
5842," $264,384.61 "
5874," $265,240.25 "
5851," $265,546.33 "
5744," $266,833.18 "
5654," $266,870.14 "
5829," $267,337.72 "
5819," $267,471.56 "
5872," $267,743.72 "
5652," $271,163.64 "
5649," $274,054.04 "
5839," $274,576.54 "
5775," $274,698.69 "
5871," $276,607.69 "
5681," $278,870.16 "
5158," $279,317.88 "
5079," $279,783.36 "
5040," $281,208.71 "
5154," $281,809.01 "
5736," $282,022.61 "
5038," $282,821.11 "
5857," $283,030.14 "
5675," $286,100.70 "
5352," $286,634.31 "
5033," $287,495.16 "
5905," $288,555.52 "
5836," $289,143.93 "
5257," $290,458.06 "
5039," $296,540.54 "
5759," $297,481.60 "
5641," $297,826.31 "
5679," $298,116.20 "
5867," $298,647.04 "
5051," $298,757.73 "
5046," $301,130.26 "
5450," $301,509.25 "
5653," $303,624.96 "
5853," $303,811.93 "
5089," $304,598.52 "
5826," $304,785.24 "
5733," $304,913.73 "
5735," $304,973.29 "
5663," $305,735.84 "
5442," $306,269.59 "
5669," $306,332.08 "
5492," $306,791.01 "
5151," $308,560.93 "
5353," $310,063.89 "
5774," $310,571.90 "
5252," $310,774.92 "
5875," $311,034.66 "
5658," $311,066.10 "
5471," $311,377.99 "
5763," $311,380.58 "
5773," $312,862.19 "
5060," $312,966.72 "
5459," $313,460.05 "
5042," $314,526.33 "
5457," $315,131.72 "
5440," $315,361.51 "
5757," $316,068.35 "
5441," $319,850.69 "
5859," $320,692.72 "
5821," $321,413.43 "
5732," $323,054.01 "
5358," $323,419.11 "
5483," $326,398.77 "
5776," $328,369.96 "
5647," $328,841.40 "
5656," $330,768.86 "
5738," $331,728.99 "
5828," $331,884.87 "
5342," $335,882.34 "
5361," $336,605.25 "
5680," $337,319.07 "
5772," $338,656.26 "
5767," $338,715.50 "
5077," $339,689.54 "
5488," $340,189.22 "
5262," $342,937.79 "
5354," $343,108.27 "
5873," $343,601.70 "
5739," $344,217.17 "
5301," $347,775.90 "
5355," $348,538.09 "
5143," $349,580.18 "
5345," $349,820.59 "
5760," $350,276.63 "
5737," $351,089.98 "
5058," $351,897.41 "
5153," $352,115.13 "
5061," $352,614.78 "
5766," $354,169.50 "
5359," $354,435.60 "
5448," $356,632.78 "
5346," $358,025.02 "
5478," $358,585.95 "
5032," $358,675.47 "
5778," $359,665.63 "
5655," $362,239.06 "
5068," $362,573.51 "
5734," $364,297.64 "
5464," $366,290.10 "
5250," $366,354.42 "
5827," $366,686.80 "
5065," $368,711.03 "
5769," $369,580.81 "
5142," $369,607.87 "
5351," $369,797.65 "
5667," $370,430.34 "
5362," $371,242.23 "
5037," $372,330.00 "
5742," $372,702.57 "
5487," $372,760.79 "
5650," $374,639.99 "
5758," $378,426.37 "
5761," $378,649.88 "
5036," $379,084.76 "
5035," $383,752.51 "
5045," $384,676.53 "
5770," $384,966.85 "
5682," $388,261.74 "
5001," $388,408.35 "
5075," $394,687.12 "
5443," $397,921.16 "
5463," $399,646.04 "
5343," $400,426.13 "
5491," $407,611.77 "
5444," $407,675.15 "
5455," $409,094.10 "
5602," $410,764.70 "
5404," $412,271.13 "
5648," $414,416.33 "
5341," $414,734.76 "
5072," $416,675.49 "
5034," $420,145.60 "
5146," $420,538.44 "
5062," $425,275.67 "
5762," $425,992.15 "
5832," $428,806.97 "
5730," $429,754.98 "
5651," $430,240.81 "
5070," $433,467.64 "
5363," $434,891.23 "
5043," $437,193.50 "
5661," $437,976.28 "
5468," $438,376.31 "
5472," $443,385.41 "
5148," $443,641.29 "
5462," $446,341.33 "
5454," $451,323.78 "
5753," $451,486.34 "
5408," $453,385.21 "
5751," $458,081.44 "
5446," $458,988.86 "
5676," $461,345.41 "
5048," $462,217.99 "
5674," $467,705.70 "
5403," $474,615.90 "
5452," $475,767.42 "
5473," $482,711.33 "
5456," $485,922.58 "
5356," $487,398.50 "
5056," $489,008.13 "
5660," $490,726.18 "
5253," $490,946.71 "
5458," $491,176.16 "
5059," $491,928.09 "
5494," $512,614.42 "
5152," $516,629.40 "
5474," $530,231.48 "
5673," $536,727.13 "
5477," $539,390.18 "
5461," $540,415.59 "
5465," $541,947.92 "
5161," $544,067.68 "
5495," $548,332.13 "
5155," $549,320.33 "
5360," $556,514.77 "
5401," $561,001.17 "
5489," $565,863.12 "
5255," $568,477.73 "
5841," $570,804.84 "
5149," $594,856.81 "
5677," $601,400.88 "
5486," $622,719.42 "
5340," $673,037.98 "
5482," $677,801.75 "
5053," $695,737.61 "
5091," $703,590.10 "
5055," $750,899.83 "
5251," $764,344.45 "
5067," $767,692.56 "
5445," $826,777.20 "
5672," $942,691.27 "
5071," $967,805.15 "
