ZIP,Price
53001,307017
53002,366962
53004,345556
53005,451973
53006,328646
53007,272760
53010,341056
53011,321634
53012,481457
53013,344152
53014,262202
53015,281970
53017,514483
53018,602983
53019,337189
53020,402294
53021,367996
53022,414850
53023,323002
53024,416450
53027,374137
53029,601095
53032,239610
53033,465770
53034,292981
53035,339753
53036,422825
53037,376062
53038,373971
53039,290829
53040,358059
53042,287008
53044,382942
53045,488834
53046,507273
53048,284526
53049,340569
53050,254948
53051,390339
53057,314369
53058,674206
53059,415537
53061,236888
53063,322522
53065,305160
53066,516157
53069,687194
53070,320556
53072,495341
53073,328476
53074,338407
53075,327944
53076,537829
53079,310409
53080,344832
53081,222607
53083,298000
53085,298709
53086,424065
53089,487436
53090,331768
53091,306256
53092,543730
53093,335568
53094,281102
53095,366345
53097,604517
53098,289600
53103,441972
53104,400798
53105,348277
53108,342450
53110,260643
53114,297519
53115,297427
53118,544338
53119,478257
53120,414094
53121,359157
53122,601820
53125,626012
53126,411174
53128,290061
53129,349080
53130,362458
53132,400923
53137,420614
53139,329971
53140,224144
53142,286559
53143,225633
53144,283533
53146,399181
53147,394541
53149,460156
53150,469111
53151,407402
53153,453300
53154,371922
53156,336165
53158,402935
53168,327006
53170,310399
53172,267646
53177,278217
53178,388652
53179,320558
53181,361274
53182,359879
53183,502258
53184,358886
53185,408159
53186,326720
53188,387700
53189,450426
53190,323600
53191,487679
53202,351341
53203,366102
53204,137356
53205,132404
53206,76780
53207,280209
53208,202580
53209,145759
53210,150168
53211,462367
53212,184811
53213,383762
53214,235480
53215,199431
53216,155620
53217,507123
53218,148430
53219,247365
53220,269476
53221,264526
53222,235704
53223,208613
53224,217085
53225,211307
53226,364821
53227,266253
53228,325318
53233,170031
53235,260372
53402,262221
53403,186822
53404,168023
53405,203940
53406,292408
53502,317216
53503,309747
53504,244745
53505,345819
53508,398666
53510,224806
53511,187993
53515,405803
53516,313802
53517,479678
53518,219876
53520,276124
53521,443407
53523,389018
53525,282070
53527,448009
53528,483799
53529,467957
53530,183165
53531,391864
53532,432316
53533,299798
53534,302849
53536,350616
53537,211776
53538,291598
53541,184680
53543,256571
53544,385270
53545,253592
53546,288220
53548,254109
53549,300433
53551,383618
53553,209713
53554,201636
53555,437101
53556,222037
53558,453433
53559,384318
53560,380242
53561,454216
53562,578464
53563,340412
53565,296758
53566,253778
53569,220635
53570,321925
53572,445950
53573,200984
53574,407585
53575,458867
53576,277699
53577,280391
53578,382456
53579,288546
53581,219245
53583,368805
53585,245470
53586,176979
53587,196048
53588,345215
53589,398128
53590,418597
53593,560261
53594,321477
53597,558624
53598,455893
53703,408897
53704,340204
53705,507694
53711,467663
53713,323892
53714,345493
53715,454622
53716,381546
53717,475564
53718,400687
53719,405727
53726,732210
53801,123395
53803,174279
53804,159220
53805,181712
53806,165538
53807,228903
53808,228553
53809,184048
53811,246967
53813,199482
53818,239862
53820,227796
53821,184288
53826,175739
53901,262813
53910,175549
53911,328773
53913,291091
53916,259813
53919,262020
53920,232015
53923,252158
53924,272174
53925,309821
53926,246538
53929,198203
53930,246388
53932,319957
53933,311967
53934,195657
53936,170918
53937,323526
53941,335282
53943,279619
53944,263601
53946,270630
53948,234522
53949,235758
53950,263897
53951,302792
53952,236175
53954,330594
53955,363763
53956,258392
53959,286766
53960,316546
53961,272029
53963,235628
53964,244504
53965,281553
53968,196113
54001,309079
54002,316648
54003,378925
54004,265170
54005,279979
54006,255126
54007,318159
54009,329547
54011,315396
54013,285430
54014,319150
